Aquation of trans-[Co(en)2Cl2]+,,,,wavelength in nm,,time in minutes,,40 C,Co=6mm,H+=0.1M HNO3,,I=0.4M KNO3,,,,,,,,
wavelength,0,15,30,45,60,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285
350,0.202706,0.199709,0.198041,0.195983,0.195025,0.193761,0.192233,0.191208,0.190037,0.189002,0.187947,0.186951,0.186,0.185331,0.184169,0.183727,0.182828,0.182008,0.181435,0.180973
351,0.190842,0.18837,0.187241,0.185452,0.184739,0.183923,0.18277,0.182085,0.181194,0.180537,0.179818,0.179324,0.178575,0.178115,0.177279,0.176981,0.176413,0.175878,0.175431,0.175203
352,0.180332,0.178542,0.177817,0.176329,0.175916,0.175424,0.174586,0.174367,0.173688,0.173456,0.17307,0.172729,0.172318,0.172062,0.171678,0.171312,0.17121,0.170908,0.170643,0.170763
353,0.171394,0.170119,0.169666,0.16876,0.168572,0.168423,0.167911,0.167878,0.167545,0.167385,0.167453,0.167255,0.167155,0.167075,0.16685,0.16699,0.166793,0.166701,0.166789,0.166853
354,0.164058,0.163273,0.163083,0.16217,0.162484,0.162389,0.162269,0.162482,0.162379,0.162597,0.162773,0.162765,0.16278,0.163129,0.163149,0.163161,0.163386,0.163547,0.163684,0.163879
355,0.157688,0.157284,0.157229,0.156773,0.157249,0.157557,0.157593,0.158084,0.158138,0.1587,0.158765,0.159096,0.15952,0.159911,0.160048,0.160308,0.160625,0.161008,0.161295,0.161597
356,0.152293,0.152163,0.152497,0.152201,0.15272,0.153446,0.153556,0.154138,0.154747,0.155203,0.155643,0.155965,0.156644,0.157185,0.157365,0.157908,0.158368,0.158887,0.159348,0.159763
357,0.147796,0.147915,0.148518,0.148436,0.149109,0.150021,0.150355,0.151046,0.151689,0.152435,0.153095,0.153595,0.15431,0.155095,0.155556,0.156099,0.156577,0.157189,0.157722,0.158471
358,0.144041,0.144454,0.145153,0.145254,0.146154,0.147087,0.147542,0.148589,0.149311,0.150047,0.150974,0.151692,0.152488,0.153367,0.153904,0.154568,0.155276,0.155835,0.15657,0.157273
359,0.141004,0.141364,0.142283,0.142413,0.14363,0.144643,0.145389,0.146398,0.147361,0.148321,0.149321,0.150045,0.151052,0.151866,0.152568,0.153482,0.154222,0.154888,0.155625,0.156513
360,0.138164,0.138825,0.139999,0.140346,0.141589,0.142689,0.143508,0.144704,0.145641,0.146891,0.147924,0.148738,0.149826,0.150882,0.151581,0.152559,0.153325,0.154098,0.154954,0.155842
361,0.135942,0.136802,0.137908,0.138462,0.13986,0.141071,0.142011,0.143313,0.144388,0.145677,0.146704,0.147788,0.148776,0.149928,0.150752,0.151825,0.152704,0.153586,0.154289,0.155368
362,0.134022,0.134943,0.136261,0.136886,0.138381,0.139708,0.14067,0.142047,0.14328,0.144466,0.14572,0.146894,0.148052,0.149329,0.150111,0.151135,0.152157,0.1529,0.153942,0.15487
363,0.132276,0.133485,0.134872,0.135547,0.137115,0.138647,0.139691,0.14108,0.142413,0.143785,0.145154,0.146148,0.14746,0.148628,0.149536,0.150645,0.151703,0.152595,0.15371,0.154518
364,0.130851,0.132182,0.133743,0.134571,0.136103,0.137571,0.13873,0.140364,0.141652,0.143196,0.144354,0.145571,0.146767,0.148203,0.149151,0.150262,0.151282,0.152221,0.153297,0.154334
365,0.12957,0.131118,0.132657,0.133526,0.135083,0.13669,0.138113,0.139434,0.140878,0.142387,0.143731,0.145047,0.146607,0.147634,0.148687,0.149835,0.150989,0.152028,0.15298,0.154095
366,0.128724,0.130175,0.131845,0.132682,0.134394,0.136062,0.137203,0.138881,0.140379,0.141874,0.143265,0.14461,0.146002,0.147301,0.148164,0.149525,0.150471,0.151686,0.152697,0.153652
367,0.127871,0.129157,0.131018,0.131906,0.133683,0.13533,0.136733,0.138311,0.139771,0.141245,0.142637,0.144145,0.145459,0.146852,0.147813,0.149077,0.150301,0.151247,0.152294,0.153506
368,0.126853,0.128379,0.130145,0.131167,0.13279,0.134596,0.135929,0.13783,0.139229,0.140587,0.14211,0.143527,0.145099,0.146397,0.147354,0.148629,0.149734,0.150823,0.151975,0.152979
369,0.126147,0.127564,0.129597,0.130602,0.132185,0.134098,0.135406,0.137133,0.138539,0.14024,0.141617,0.143025,0.144296,0.145918,0.146913,0.148128,0.149359,0.150337,0.151344,0.152406
370,0.1253,0.127027,0.128906,0.130078,0.131642,0.133418,0.134862,0.136596,0.138088,0.139713,0.141129,0.142534,0.14376,0.145221,0.146404,0.147634,0.148687,0.149871,0.15091,0.151957
371,0.124545,0.126313,0.128222,0.12916,0.13099,0.13286,0.134273,0.135965,0.137324,0.139048,0.140539,0.141925,0.143469,0.144538,0.14576,0.147002,0.148193,0.14913,0.150131,0.151157
372,0.123932,0.125623,0.127644,0.128446,0.130306,0.132097,0.133385,0.135214,0.136787,0.13817,0.139825,0.141063,0.142666,0.143944,0.145049,0.146256,0.147322,0.14848,0.149452,0.150438
373,0.123153,0.124977,0.126735,0.127779,0.129731,0.131578,0.132836,0.134624,0.135969,0.137513,0.139154,0.14051,0.141819,0.143126,0.144246,0.145432,0.146392,0.147875,0.14857,0.149633
