PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,W460-Curve_Description,W460-Fit_LogAC50,W460-Fit_HillSlope,W460-Fit_R2,W460-Fit_InfiniteActivity,W460-Fit_ZeroActivity,W460-Fit_CurveClass,W460-Excluded_Points,W460-Max_Response,W460-Activity at 0.0004332835 uM,W460-Activity at 0.00130 uM,W460-Activity at 0.00388 uM,W460-Activity at 0.00491 uM,W460-Activity at 0.012 uM,W460-Activity at 0.035 uM,W460-Activity at 0.057 uM,W460-Activity at 0.105 uM,W460-Activity at 0.315 uM,W460-Activity at 0.650 uM,W460-Activity at 0.956 uM,W460-Activity at 2.842 uM,W460-Activity at 4.858 uM,W460-Activity at 8.495 uM,W460-Activity at 25.28 uM,W460-Activity at 36.32 uM,W460-Activity at 76.68 uM,W460-Activity at 182.0 uM,W460-Activity at 407.0 uM,W460-Activity at 910.0 uM,W460-Activity at 2034.7 uM,W460-Activity at 4832.4 uM,W460-Activity at 10805.3 uM,W460-Activity at 24160.5 uM,W460-Activity at 54023.0 uM,Ratio-Curve_Description,Ratio-Fit_LogAC50,Ratio-Fit_HillSlope,Ratio-Fit_R2,Ratio-Fit_InfiniteActivity,Ratio-Fit_ZeroActivity,Ratio-Fit_CurveClass,Ratio-Excluded_Points,Ratio-Max_Response,Ratio-Activity at 0.0004332835 uM,Ratio-Activity at 0.00130 uM,Ratio-Activity at 0.00388 uM,Ratio-Activity at 0.00490 uM,Ratio-Activity at 0.012 uM,Ratio-Activity at 0.035 uM,Ratio-Activity at 0.057 uM,Ratio-Activity at 0.105 uM,Ratio-Activity at 0.315 uM,Ratio-Activity at 0.650 uM,Ratio-Activity at 0.956 uM,Ratio-Activity at 2.842 uM,Ratio-Activity at 4.857 uM,Ratio-Activity at 8.495 uM,Ratio-Activity at 25.28 uM,Ratio-Activity at 36.32 uM,Ratio-Activity at 76.68 uM,Ratio-Activity at 182.0 uM,Ratio-Activity at 406.9 uM,Ratio-Activity at 909.9 uM,Ratio-Activity at 2034.6 uM,Ratio-Activity at 4832.0 uM,Ratio-Activity at 10804.6 uM,Ratio-Activity at 24159.8 uM,Ratio-Activity at 54023.0 uM,W530-Curve_Description,W530-Fit_LogAC50,W530-Fit_HillSlope,W530-Fit_R2,W530-Fit_InfiniteActivity,W530-Fit_ZeroActivity,W530-Fit_CurveClass,W530-Excluded_Points,W530-Max_Response,W530-Activity at 0.0004332835 uM,W530-Activity at 0.00130 uM,W530-Activity at 0.00388 uM,W530-Activity at 0.00490 uM,W530-Activity at 0.012 uM,W530-Activity at 0.035 uM,W530-Activity at 0.057 uM,W530-Activity at 0.105 uM,W530-Activity at 0.315 uM,W530-Activity at 0.650 uM,W530-Activity at 0.956 uM,W530-Activity at 2.842 uM,W530-Activity at 4.857 uM,W530-Activity at 8.495 uM,W530-Activity at 25.28 uM,W530-Activity at 36.32 uM,W530-Activity at 76.68 uM,W530-Activity at 182.0 uM,W530-Activity at 406.9 uM,W530-Activity at 909.9 uM,W530-Activity at 2034.6 uM,W530-Activity at 4832.0 uM,W530-Activity at 10804.6 uM,W530-Activity at 24159.8 uM,W530-Activity at 54023.0 uM,Compound QC
RESULT_TYPE,,,,,,,,STRING,FLOAT,FLOAT,STRING,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,FLOAT,STRING
RESULT_DESCR,,,,,,,,"Indicates type of activity observed: inhibitor, activator, fluorescent, cytotoxic, inactive, or inconclusive.","Concentration at which compound exhibits half-maximal efficacy, AC50. Extrapolated AC50s also include the highest efficacy observed and the concentration of compound at which it was observed.","Maximal efficacy of compound, reported as a percentage of control. These values are estimated based on fits of the Hill equation to the dose-response curves.",Annotation/notes on a particular compound's data or its analysis.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"A description of dose-response curve quality. A complete curve has two observed asymptotes; a partial curve may not have attained its second asymptote at the highest concentration tested. High efficacy curves exhibit efficacy greater than 80% of control. Partial efficacies are statistically significant, but below 80% of control.",The logarithm of the AC50 from a fit of the data to the Hill equation (calculated based on Molar Units).,The Hill slope from a fit of the data to the Hill equation.,R^2 fit value of the curve. Closer to 1.0 equates to better Hill equation fit.,The asymptotic efficacy from a fit of the data to the Hill equation.,Efficacy at zero concentration of compound from a fit of the data to the Hill equation.,Numerical encoding of curve description for the fitted Hill equation.,"Which dose-response titration points were excluded from analysis based on outlier analysis. Each number represents whether a titration point was (1) or was not (0) excluded, for the titration series going from smallest to highest compound concentrations.",Maximum activity observed for compound (usually at highest concentration tested).,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,% Activity at given concentration.,"NCGC designation for data stage: 'qHTS', 'qHTS Verification', 'Secondary Profiling'"
RESULT_UNIT,,,,,,,,NONE,MICROMOLAR,PERCENT,NONE,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE,NONE,NONE,NONE,PERCENT,PERCENT,NONE,NONE,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,PERCENT,NONE
RESULT_IS_ACTIVE_CONCENTRATION,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESULT_ATTR_CONC_MICROMOL,,,,,,,,,,,,,,,,,,,,,0.000433283,0.00129662,0.00388327,0.00490613,0.0116848,0.0348167,0.0569211,0.105349,0.314739,0.649798,0.956187,2.84174,4.85808,8.49541,25.278,36.3199,76.6841,182.01,406.974,909.994,2034.75,4832.4,10805.3,24160.5,54023,,,,,,,,,,0.000433283,0.00129661,0.00388326,0.00490421,0.0116847,0.0348166,0.0569129,0.105349,0.314738,0.649661,0.956183,2.84173,4.85728,8.49539,25.2779,36.3158,76.684,181.982,406.925,909.911,2034.62,4831.96,10804.6,24159.8,54023,,,,,,,,,,0.000433283,0.00129661,0.00388326,0.00490421,0.0116847,0.0348166,0.0569129,0.105349,0.314738,0.649661,0.956183,2.84173,4.85728,8.49539,25.2779,36.3158,76.684,181.982,406.925,909.911,2034.62,4831.96,10804.6,24159.8,54023,
1,26755270,457193,C[C@@H]1[C@@H](C(=O)N[C@@H](C(=O)N2CCC[C@H]2C(=O)N(CC(=O)N([C@H](C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)N[C@H]6[C@H](OC(=O)[C@@H](N(C(=O)CN(C(=O)[C@@H]7CCCN7C(=O)[C@H](NC6=O)C(C)C)C)C)C(C)C)C)N)C,Active,95,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00161622-02/21156007,,Inhibitor,0.0501,117.827,,Complete curve; high efficacy,-7.1,3.132,0.9782,-113.752,-6.693,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-106.487,,-27.1862,-12.9167,-2.5712,0.2235,3.0667,-27.8567,-93.0535,-110.299,-110.492,-113.875,-116.144,-113.264,,-118.625,-118.457,-106.487,,,,,,,,,Complete curve; high efficacy,-7.3,1.7137,0.9792,-109.142,8.6849,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-101.204,,18.7236,-8.2617,18.6358,-0.3532,-23.0182,-53.6719,-86.1037,-110.609,-111.936,-108.607,-114.891,-108.025,,-111.327,-100.128,-101.204,,,,,,,,,,,,,,,4,1 0 0 0 0 0 0 0 0 0 0 0 0 1 0,3.9172,,-38.9721,-16.0792,-24.8948,-12.1481,4.6275,13.1136,-3.0853,23.5869,28.44,4.8703,23.5422,11.5131,,7.1116,-21.4028,3.9172,,,,,,,,,QC'd by SigmaAldrich
2,26753707,15910,C(#N)C1=C(C(=C(C(=C1Cl)Cl)Cl)C#N)Cl,Active,85,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00094560-03/21156613,,Inhibitor,2.5119,91.9451,,Complete curve; high efficacy,-5.4,3.2475,0.92,-92.8614,14.1483,-1.1,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-87.1861,,5.8429,16.1266,5.4656,-11.3908,35.868,44.0551,-3.8295,22.3316,12.2695,12.1422,951.826,-77.199,,-91.828,-97.4279,-87.1861,,,,,,,,,Complete curve; high efficacy,-5.6,4.9549,0.941,-98.5177,-6.5726,-1.1,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,-73.8739,,-21.4671,-4.3137,-11.5868,-4.356,1.0554,-13.1252,-2.2868,0.3802,-7.6774,-9.4126,166.321,-104.667,,-118.447,-96.2576,-73.8739,,,,,,,,,,,,,,,4,,-6.4858,,15.2442,9.9093,10.0492,-4.0169,17.4744,31.7076,-1.0956,12.0396,10.1202,10.6467,198.369,72.2889,,92.9324,6.3488,-6.4858,,,,,,,,,QC'd by EPA
3,50126368,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,85,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-p1/NCGC00024415-36/21156726,,Inhibitor,4.4668,109.383,,Complete curve; high efficacy,-5.4,4.095,0.9768,-133.088,1.4835,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-126.881,,-6.0974,6.1484,10.8971,14.5697,8.3978,-1.8332,-6.5881,-21.8119,10.9974,-0.8898,-34.9814,-124.745,,-133.259,-133.777,-126.881,,,,,,,,,Complete curve; high efficacy,-5.35,4.9549,0.9836,-106.219,3.1637,-1.1,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-95.952,,-6.8489,4.0145,1.7147,3.2532,-1.7438,3.5609,2.4578,0.7746,5.3722,18.5236,-11.7756,-101.154,,-107.336,-108.025,-95.952,,,,,,,,,,,,,,,4,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-0.0121,,-5.5531,-5.5871,0.705,2.9185,1.1083,-10.5348,-9.0317,-16.5724,-3.8069,-19.2338,-17.0354,21.9206,,19.4575,9.9313,-0.0121,,,,,,,,,QC'd by SigmaAldrich
4,17389073,62770,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,Active,84,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB08007549-01/21170004,,Inhibitor,5.0119,95.8634,,Complete curve; high efficacy,-5.2,4.095,0.9231,-91.9598,10.6481,-1.1,0 0 0 0 0 0 0 0 0 1 1 0 0 0,-93.2709,22.4465,,17.473,,39.8308,2.5943,3.1947,-13.3684,-2.3969,16.6286,10.3537,,-68.8096,-19.264,-90.3323,-89.9239,-93.2709,,,,,,,,,Complete curve; high efficacy,-5.3,4.4495,0.9695,-110.498,-14.6347,-1.1,0 0 0 0 0 0 0 0 0 1 1 0 0 0,-104.709,-3.052,,-19.5457,,-9.7434,-18.8674,-24.2162,-26.9051,-8.7486,-12.3457,-7.8161,,-98.804,-22.4855,-118.55,-107.686,-104.709,,,,,,,,,,,,,,,4,,26.6503,15.6381,,22.0677,,27.3909,14.9871,19.3156,11.7064,5.1254,18.7956,12.096,,47.2573,4.0582,59.6951,36.3119,26.6503,,,,,,,,,QC'd by NIEHS/NTP
5,17389199,443939,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,Active,84,http://assay.nih.gov/htsws/rest/display/nucrecep-trb-antagonist-ntp-p1/AB02540577-01/21170339,,Inhibitor,5.6234,106.73,,Complete curve; high efficacy,-5.4,1.4641,0.9324,-130.436,-10.7591,-1.1,0 0 0 0 0 0 0 0 0 1 1 0 0 0,-124.632,-13.6661,,-35.5415,,17.4244,0.1449,-12.4453,-20.7509,-3.8417,-33.4566,-28.2259,,-120.686,-48.1874,-123.113,-126.031,-124.632,,,,,,,,,Complete curve; high efficacy,-5.25,4.9549,0.9739,-102.347,4.3829,-1.1,0 0 0 0 0 0 0 0 0 1 1 0 0 0,-96.5,-4.5,,17.5,,8.1394,-7.0362,-7.018,3.9291,12.0468,10.0763,6.9983,,-98.25,-18.8357,-103.04,-107.726,-96.5,,,,,,,,,,,,,,,4,0 1 0 0 0 0 0 0 0 1 0 0 0 1,4.801,-3.2846,,-26.3201,,2.1267,5.0026,-0.8856,-11.9223,-9.0958,-23.2489,-18.7819,,11.4969,-14.0664,13.9173,29.1975,4.801,,,,,,,,,QC'd by NIEHS/NTP
