,AtomicNumber,AtomicRadius
0,1,120.0
1,2,140.0
2,3,182.0
3,4,153.0
4,5,192.0
5,6,170.0
6,7,155.0
7,8,152.0
8,9,135.0
9,10,154.0
10,11,227.0
11,12,173.0
12,13,184.0
13,14,210.0
14,15,180.0
15,16,180.0
16,17,175.0
17,18,188.0
18,19,275.0
19,20,231.0
20,21,211.0
21,22,187.0
22,23,179.0
23,24,189.0
24,25,197.0
25,26,194.0
26,27,192.0
27,28,163.0
28,29,140.0
29,30,139.0
30,31,187.0
31,32,211.0
32,33,185.0
33,34,190.0
34,35,183.0
35,36,202.0
36,37,303.0
37,38,249.0
38,39,219.0
39,40,186.0
40,41,207.0
41,42,209.0
42,43,209.0
43,44,207.0
44,45,195.0
45,46,202.0
46,47,172.0
47,48,158.0
48,49,193.0
49,50,217.0
50,51,206.0
51,52,206.0
52,53,198.0
53,54,216.0
54,55,343.0
55,56,268.0
56,57,240.0
57,58,235.0
58,59,239.0
59,60,229.0
60,61,236.0
61,62,229.0
62,63,233.0
63,64,237.0
64,65,221.0
65,66,229.0
66,67,216.0
67,68,235.0
68,69,227.0
69,70,242.0
70,71,221.0
71,72,212.0
72,73,217.0
73,74,210.0
74,75,217.0
75,76,216.0
76,77,202.0
77,78,209.0
78,79,166.0
79,80,209.0
80,81,196.0
81,82,202.0
82,83,207.0
83,84,197.0
84,85,202.0
85,86,220.0
86,87,348.0
87,88,283.0
88,89,260.0
89,90,237.0
90,91,243.0
91,92,240.0
92,93,221.0
93,94,243.0
94,95,244.0
95,96,245.0
96,97,244.0
97,98,245.0
98,99,245.0
