AtomicNumber,AtomicRadius
1,120.0
2,140.0
3,182.0
4,153.0
5,192.0
6,170.0
7,155.0
8,152.0
9,135.0
10,154.0
11,227.0
12,173.0
13,184.0
14,210.0
15,180.0
16,180.0
17,175.0
18,188.0
19,275.0
20,231.0
21,211.0
22,187.0
23,179.0
24,189.0
25,197.0
26,194.0
27,192.0
28,163.0
29,140.0
30,139.0
31,187.0
32,211.0
33,185.0
34,190.0
35,183.0
36,202.0
37,303.0
38,249.0
39,219.0
40,186.0
41,207.0
42,209.0
43,209.0
44,207.0
45,195.0
46,202.0
47,172.0
48,158.0
49,193.0
50,217.0
51,206.0
52,206.0
53,198.0
54,216.0
55,343.0
56,268.0
57,240.0
58,235.0
59,239.0
60,229.0
61,236.0
62,229.0
63,233.0
64,237.0
65,221.0
66,229.0
67,216.0
68,235.0
69,227.0
70,242.0
71,221.0
72,212.0
73,217.0
74,210.0
75,217.0
76,216.0
77,202.0
78,209.0
79,166.0
80,209.0
81,196.0
82,202.0
83,207.0
84,197.0
85,202.0
86,220.0
87,348.0
88,283.0
89,260.0
90,237.0
91,243.0
92,240.0
93,221.0
94,243.0
95,244.0
96,245.0
97,244.0
98,245.0
99,245.0
