,CID,HBondDonorCount,HBondAcceptorCount,MolecularWeight,XLogP,ConnectivitySMILES,SMILES,HitFreq,Include
3,9910160,3,4,422.9,4.4,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NC/C=C/C3=CC=CC=C3,3,1
4,9823695,3,4,424.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCC3=CC=CC=C3,3,1
5,15838575,2,6,434.9,3.3,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NCC(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NCC(=O)OC(C)(C)C,3,1
6,15838576,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)N[C@@H](C)C(=O)OC(C)(C)C,3,1
7,18318270,3,4,410.9,4.2,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCC3=CC=CC=C3,3,1
8,18318274,3,4,436.9,4.8,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NC/C=C/C3=CC=CC=C3,3,1
10,18318313,3,4,438.9,4.9,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCCC3=CC=CC=C3,3,1
11,18318317,2,4,436.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)C/C=C/C3=CC=CC=C3,3,1
12,20183492,2,5,441.9,1.2,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN3CCCCC3)C4=CC=CC=C4Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN3CCCCC3)C4=CC=CC=C4Cl)C(=O)O,2,1
13,70073800,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,3,0
14,70074958,2,6,448.9,3.9,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,CC1=C([C@@H](C(=C(N1)C)C(=O)OC)C2=CC=CC=C2Cl)C(=O)NC(C)C(=O)OC(C)(C)C,3,0
15,70155849,3,4,422.9,4.4,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,3,0
16,70157306,3,4,436.9,4.8,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,CCC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCC=CC3=CC=CC=C3,3,0
17,70157737,2,4,436.9,4.6,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CC=CC3=CC=CC=C3,3,0
18,118694396,2,4,334.8,-0.9,CC1=C(C(CC(=O)N1CC2CNC2)C3=CC=C(C=C3)Cl)C(=O)O,CC1=C(C(CC(=O)N1CC2CNC2)C3=CC=C(C=C3)Cl)C(=O)O,2,1
19,118694545,2,4,322.74,0.8,CC1=C(C(CC(=O)N1CC(=O)N)C2=CC=C(C=C2)Cl)C(=O)O,CC1=C(C(CC(=O)N1CC(=O)N)C2=CC=C(C=C2)Cl)C(=O)O,2,1
20,139926177,3,5,431.9,2.2,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3=O,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3=O,3,1
21,139926179,3,5,417.9,0.9,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)NCCCN3CCCC3,3,1
22,141547267,3,5,364.8,2.8,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC)CO)C,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)NC)CO)C,3,1
23,141955514,3,4,432.9,4.8,CC=C(C)NC(=O)CNC(=O)C(=C(C)C)C(C1=CC(=CC=C1)Cl)C(=C(C)C)C(=O)O,C/C=C(\C)/NC(=O)CNC(=O)C(=C(C)C)C(C1=CC(=CC=C1)Cl)C(=C(C)C)C(=O)O,3,1
25,174448759,2,4,438.9,4.8,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CCCC3=CC=CC=C3,CC1=C(C(C(=C(N1)C)C(=O)O)C2=CC(=CC=C2)Cl)C(=O)N(C)CCCC3=CC=CC=C3,3,1
27,20183476,3,4,316.74,2.0,CC1=C(C(C2=C(N1)C=CNC2=O)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CNC2=O)C3=CC=CC=C3Cl)C(=O)O,3,1
28,20183491,2,5,401.9,0.3,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN(C)C)C3=CC=CC=C3Cl)C(=O)O,CC1=C(C(C2=C(N1)C=CN(C2=O)CCCN(C)C)C3=CC=CC=C3Cl)C(=O)O,3,1
29,46119892,1,5,408.9,1.7,CCOC(=O)C1=C(N(C(=O)CC1C2=CC=CC=C2Cl)CC(=O)NCCOC)C,CCOC(=O)C1=C(N(C(=O)CC1C2=CC=CC=C2Cl)CC(=O)NCCOC)C,2,1
31,623049,0,5,343.4,3.4,CCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C)C,CCOC(=O)C1=C(N(C(=C(C1C2=CC=CC=C2)C(=O)OCC)C)C)C,1,1
32,22363476,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC=C2F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC=C2F)F)C(=O)O,1,1
33,22363485,1,7,391.4,3.1,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2F)C(=O)O,1,1
34,22363486,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C=CC(=C2)F)F)C(=O)O,1,1
35,22363490,1,10,459.4,4.0,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)C(F)(F)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)C(F)(F)F)F)C(=O)O,1,1
36,22363491,1,8,409.4,3.2,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=C(C(=CC=C2)F)F)C(=O)O,1,1
37,68123587,1,6,345.4,3.1,CC1=C(C(C(=C(N1C)C)C(=O)OCC=C)C2=CC(=CC=C2)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OCC=C)C2=CC(=CC=C2)F)C(=O)O,1,1
38,69191156,1,6,347.4,3.2,CCN1C(=C(C(C(=C1C)C(=O)OCC)C2=CC=C(C=C2)F)C(=O)O)C,CCN1C(=C(C(C(=C1C)C(=O)OCC)C2=CC=C(C=C2)F)C(=O)O)C,1,1
39,69944993,2,7,349.4,2.0,CC1=C(C(C(=C(N1CCOC)C)C(=O)O)C2=CC=CC=C2F)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)O)C2=CC=CC=C2F)C(=O)O,1,1
40,139821062,1,8,411.4,4.6,CCC(C)OC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C)C)C,CCC(C)OC(=O)C1=C(N(C(=C(C1C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C)C)C,1,1
41,141562741,1,9,469.5,4.9,CCN1C(=C(C(C(=C1C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C,CCN1C(=C(C(C(=C1C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)C(F)(F)F)C(=O)O)C,1,1
42,141562744,1,7,405.5,3.7,CC1=C(C(C(=C(N1C)C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OCC(C(C)C)OC)C2=CC=C(C=C2)F)C(=O)O,1,1
43,145580995,1,8,397.4,4.0,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C(F)(F)F)C(=O)O,CC1=C(C(C(=C(N1C)C)C(=O)OC(C)C)C2=CC=C(C=C2)C(F)(F)F)C(=O)O,1,1
44,14230471,0,5,355.4,3.4,CCN1C(=C(C(C2=C1COC2=O)C3=CC=CC=C3C)C(=O)OC(C)C)C,CCN1C(=C(C(C2=C1COC2=O)C3=CC=CC=C3C)C(=O)OC(C)C)C,1,1
45,19009999,1,6,331.4,2.3,CC1=C(C(C(=C(N1COC)C)C(=O)OC)C2=CC=CC=C2)C(=O)O,CC1=C(C(C(=C(N1COC)C)C(=O)OC)C2=CC=CC=C2)C(=O)O,1,1
46,22363484,1,7,398.5,2.7,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2C#N)C(=O)O,CC1=C(C(C(=C(N1CCOC)C)C(=O)OC(C)C)C2=CC=CC=C2C#N)C(=O)O,1,1
47,67696352,1,5,327.4,2.7,CC1=CC=CC=C1C2C3=C(COC3=O)N(C(=C2C(=O)O)C)C(C)C,CC1=CC=CC=C1C2C3=C(COC3=O)N(C(=C2C(=O)O)C)C(C)C,1,1
